model,sample_id,input,expected,prediction,score_accuracy
openai_gpt-5,abstract_algebra_91,"Question: Find all cosets of the subgroup 4Z of 2Z.
A. 4Z
B. 4Z, 2 + 4Z
C. 2Z
D. Z
Answer:","4Z, 2 + 4Z","B. 4Z, 2 + 4Z",1.0
openai_gpt-5,abstract_algebra_42,"Question: Statement 1 | Some abelian group of order 45 has a subgroup of order 10. Statement 2 | A subgroup H of a group G is a normal subgroup if and only if thenumber of left cosets of H is equal to the number of right cosets of H.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:","False, False","B. False, False",1.0
openai_gpt-5,abstract_algebra_9,"Question: Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^3 + 2x + 2 in Z_7
A. 1
B. 2
C. 2,3
D. 6
Answer:","2,3","C. 2, 3",1.0
openai_gpt-5,abstract_algebra_65,"Question: Statement 1 | Every field is also a ring. Statement 2 | Every ring has a multiplicative identity.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:","True, False","C. True, False",1.0
openai_gpt-5,abstract_algebra_50,"Question: Statement 1 | Every solvable group is of prime-power order. Statement 2 | Every group of prime-power order is solvable.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:","False, True","D. False, True",1.0
openai_gpt-5,abstract_algebra_41,"Question: Find the characteristic of the ring Z_3 x 3Z.
A. 0
B. 3
C. 12
D. 30
Answer:",0,"A. 0

Reason: Z_3 has characteristic 3, while 3Z (as an additive group isomorphic to Z) has characteristic 0. The characteristic of a direct product is the least n killing both components; since 3Z has characteristic 0, no positive n works, so the product has characteristic 0.",1.0
openai_gpt-5,abstract_algebra_70,"Question: (Z,*) is a group with a*b = a+b+1 for all a, b in Z. The inverse of a is
A. 0
B. -2
C. a-2
D. (2+a)*-1
Answer:",(2+a)*-1,"Inverse of a is −a − 2.

Explanation: The identity e satisfies a*e = a ⇒ a + e + 1 = a ⇒ e = −1. Then inverse a⁻¹ satisfies a * a⁻¹ = −1 ⇒ a + a⁻¹ + 1 = −1 ⇒ a⁻¹ = −a − 2.

None of the provided options matches −a − 2.",0.0
openai_gpt-5,abstract_algebra_78,"Question: Statement 1 | For n > 1, the set {1,2, ..., n-1} is a group under multiplication modulo n. Statement 2 | There is an integer x such that 63x mod 100 = 1.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:","False, True","D. False, True

- Statement 1 is false: for n not prime (e.g., n=4), the set {1,2,3} is not closed under multiplication mod n (2·2 ≡ 0 mod 4).
- Statement 2 is true: gcd(63,100)=1, so an inverse exists; indeed 63·27 ≡ 1 (mod 100).",1.0
openai_gpt-5,abstract_algebra_73,"Question: Find the characteristic of the ring Z_3 x Z_3.
A. 0
B. 3
C. 12
D. 30
Answer:",3,B. 3,1.0
openai_gpt-5,abstract_algebra_1,"Question: Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.
A. 8
B. 2
C. 24
D. 120
Answer:",24,"C. 24

Explanation: p = (1 2 5 4)(2 3) equals a 5-cycle (e.g., (1 2 3 5 4)), so |<p>| = 5. Hence the index in S5 is 120/5 = 24.",1.0
openai_gpt-5,abstract_algebra_55,"Question: Statement 1 | Every free abelian group is torsion free. Statement 2 | Every finitely generated torsion-free abelian group is a free abelian group.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:","True, True",A,1.0
