subset,model,sample_id,estimated_cost_usd,thinking_tokens,score_accuracy,run_duration_sec
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_42,15.483566516,800.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_9,39.285474265000005,111.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_41,78.56589100100001,713.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_91,129.63440047100002,320.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_65,152.12131436100003,143.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_50,163.190926597,136.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_1,159.308241266,433.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_70,142.794723559,366.0,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_15,143.319267899,434.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_78,151.29033122400003,219.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_73,146.44427575,127.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_10,137.16264123000002,322.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_55,120.09600035300002,145.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_56,97.57710274700004,369.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_72,88.78050755100003,61.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_45,82.97012041900001,192.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_48,84.06989378799994,246.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_92,89.94839757599993,371.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_76,94.5263567149999,285.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_37,107.01707538499988,269.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_30,122.43582012699994,468.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_21,130.43442662199993,217.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_medium,abstract_algebra_32,139.45150794200003,392.0,1.0,
