subset,model,sample_id,estimated_cost_usd,thinking_tokens,score_accuracy,run_duration_sec
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_42,40.898918348,2542,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_9,91.16405308899999,212,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_41,175.987456168,1697,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_91,277.445371552,662,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_65,309.071393117,933,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_50,329.072800395,389,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_1,301.629058935,975,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_70,252.32277048100002,398,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_15,236.00566992400002,1115,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_78,237.64708310000003,765,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_73,237.55674069000008,214,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_10,253.70747124100012,1059,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_55,259.05447465500015,557,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_56,253.3618850570001,1636,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_72,261.35018349000006,166,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_45,243.93888083899992,471,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_48,229.88543263799988,360,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_92,196.84110659600003,674,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_76,171.75325581699997,733,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_37,167.28053496500002,548,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_30,177.5697126,908,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_21,195.4508003049998,244,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_32,200.46031984799993,503,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_96,199.24346519799997,619,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_80,183.8157890739999,1000,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_49,185.14278735900007,646,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_83,194.46432808100008,501,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_26,200.06405283800018,441,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_87,198.29751977000024,185,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_33,185.90196657200022,712,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_8,177.8403590590001,639,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_47,181.1735827959999,619,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_59,213.113532866,1271,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_63,253.88352027999986,1058,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_74,287.9560428489999,613,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_44,306.5727091619999,334,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_98,296.552583248,411,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_52,267.47713362900026,490,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_85,231.04085264900027,412,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_12,215.98085425300042,1163,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_36,202.4857984070004,130,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_23,193.99504959500018,416,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_39,192.6748387030002,554,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_40,161.22252490500023,277,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_18,138.4628043030002,285,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_66,120.59421235000036,330,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_61,112.0236032190005,592,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_60,140.63052226000036,1791,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_7,180.1127929260001,1008,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_high,abstract_algebra_34,255.0244899879999,2406,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_41,72.13071511699991,4061,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_91,148.90786948699997,238,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_42,297.6094175540002,4591,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_9,458.08991111000023,791,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_65,487.63018033100025,750,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_50,513.4855205540002,341,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_1,398.09598463600014,212,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_70,271.502079503,771,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_15,261.9145197749999,3237,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_78,253.80344770800002,535,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_73,314.9660083859999,176,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_10,373.6410197539999,536,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_55,305.1177120749999,250,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_56,297.4640089839995,5217,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_72,359.04242533399974,4152,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_45,443.832550266,1443,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_48,602.4880565819999,462,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_92,698.6948707600004,4901,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_76,665.9706563850004,731,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_37,593.0280717080004,444,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_30,510.0026289660009,187,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_21,383.1296862830004,1908,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_32,333.2398887830004,1169,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_96,300.3728880100007,603,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_80,278.93417416600096,522,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_49,276.90803501700157,144,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_83,246.75336167200112,1134,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_26,280.16176885300047,5273,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_87,302.93386235399976,323,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_33,366.4684709889989,1776,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_8,453.19841098899906,1530,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_47,426.46506629099895,686,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_59,444.0245916979993,2483,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_63,428.73548341199967,354,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_74,373.55548387199997,180,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_44,356.68466181500025,221,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_98,301.06255951799994,3126,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_52,271.9349930210001,802,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_85,339.48400605000006,3019,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_12,485.4860462050001,4421,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_36,620.601534849,1271,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_23,798.9725849220004,4164,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_39,842.5207088240004,366,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_40,759.8903934980008,680,1.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_18,667.9100078850015,1292,0.0,
college_chemistry,ollama_gpt-oss:20b_think_high,college_chemistry_66,456.5013008620008,381,1.0,
