model,sample_id,input,expected,prediction,score_accuracy
ollama_gpt-oss:20b_think_medium,high_school_statistics_36,"Question: A large city was interested in annexing part of the surrounding county. In a survey conducted by the local newspaper, 58 percent of respondents said they were against the annexation. During the actual vote, not all eligible voters voted, but 56 percent of the respondents voted against the annexation. Which of the following best describes the difference in the percentages obtained from the newspaper poll and the vote itself?
A. It is an example of nonresponse bias, the systematic tendency of individuals with particular characteristics to refuse to answer a survey question.
B. It is the systematic difference between a statistic and parameter caused by the nonrandom selection of surveyed persons.
C. It is the difference between the same statistics computed from two different samples.
D. It is the difference between the statistic and the truth due to use of a random sample.
Answer:",It is the difference between the same statistics computed from two different samples.,"**Answer: A.**
The discrepancy between the newspaper’s poll (58 % opposed) and the actual voting results (56 % opposed) is a classic case of **nonresponse bias**. In the poll, only those who answered the survey were counted; in the vote, only those who turned out to vote were counted. The people who did not vote are a systematic group whose views may differ from those who did vote, producing the observed difference.",0.0
ollama_gpt-oss:20b_think_medium,high_school_statistics_79,"Question: Which of the following is not true with regard to contingency tables for chi-square tests for independence?
A. The categories are not numerical for either variable.
B. Observed frequencies should be whole numbers.
C. Expected frequencies should be whole numbers.
D. Expected frequencies in each cell should be at least 5, and to achieve this, one sometimes combines categories for one or the other or both of the variables.
Answer:",Expected frequencies should be whole numbers.,"**C. Expected frequencies should be whole numbers.**

In a chi‑square test for independence, expected counts are calculated from the observed totals and are typically fractional, not required to be whole numbers. The other statements (A, B, D) are correct.",1.0
ollama_gpt-oss:20b_think_medium,high_school_statistics_146,"Question: The Hardcore Construction Company has two offices, one in Atlanta and one in New Orleans. Fifteen engineers work in the Atlanta office, and 14 engineers work in the New Orleans office. The business manager decided to use a 2-sample t-test to compare the mean salaries of engineers in the two offices. Because there were only 15 engineers in one office and 14 engineers in the other, he used the salaries of all the engineers in the computation. Is the 2-sample t-test an appropriate inferential technique in this situation?
A. Yes, because he is comparing the means of two small groups.
B. Yes. Both Atlanta and New Orleans are large cities, so the salaries are comparable.
C. Yes. Because Atlanta and New Orleans are about 500 miles apart, the two groups of engineers can be assumed to be independent.
D. No, because the entire population information was used from both offices. Because no samples were taken, a t-test should not be used.
Answer:","No, because the entire population information was used from both offices. Because no samples were taken, a t-test should not be used.","D. No, because the entire population information was used from both offices. Because no samples were taken, a t‑test should not be used.",1.0
ollama_gpt-oss:20b_think_medium,high_school_statistics_30,"Question: The president of an online music streaming service whose customers pay a fee wants to gather additional information about customers who have joined in the past 12 months. The company plans to send out an e-mail survey to a sample of current customers with a link that gives participants a month of streaming service for free once the survey has been completed. They know that musical tastes vary by geographical region. Which of the following sample plans would produce the most representative sample of its customers?
A. Choose all of the customers who joined in the last month.
B. Make a list of all the customers who joined in the last 12 months and choose a random sample of customers on this list.
C. From the list of all customers who joined in the last 12 months, classify customers by the state in which they live, then choose 10 customers from each state.
D. From the list of all customers who joined in the last 12 months, classify customers by the state in which they live, then choose 3% of the customers from each state.
Answer:","From the list of all customers who joined in the last 12 months, classify customers by the state in which they live, then choose 3% of the customers from each state.","The goal is to get a sample that reflects the geographical distribution of the customer base, because musical taste differs by region.

- **Option A** looks only at customers who joined in the last month—this is a very small, highly selective group and will not be representative.
- **Option B** is a simple random sample of all customers who joined in the past 12 months; while random, it doesn’t guarantee that each state (region) is represented in proportion to its share of the population.
- **Option C** selects a fixed number (10) from each state; this gives equal representation to every state, even very small ones, so the overall sample is not proportional to the actual state sizes.
- **Option D** selects 3 % of the customers from each state. This is *proportional stratified sampling*—each state contributes the same proportion of its customers, so the final sample mirrors the geographical distribution of the entire customer base.

**Answer: D.**",1.0
ollama_gpt-oss:20b_think_medium,high_school_statistics_133,"Question: Which of the following is NOT true of the χ2 probability distribution function?
A. The area under the χ2 curve is 1.
B. χ2 is defined only for nonnegative values of the variable.
C. For small degrees of freedom, the curve displays strong right-skewness.
D. For the same α, as the number of degrees of freedom increases, the critical value for the rejection region decreases.
Answer:","For the same α, as the number of degrees of freedom increases, the critical value for the rejection region decreases.","D. For the same α, as the number of degrees of freedom increases, the critical value for the rejection region **decreases** is NOT true – the chi‑square critical value actually increases with more degrees of freedom.",1.0
ollama_gpt-oss:20b_think_medium,high_school_statistics_45,"Question: In a high school of 1650 students, 132 have personal investments in the stock market. To estimate the total stock investment by students in this school, two plans are proposed. Plan I would sample 30 students at random, find a confidence interval estimate of their average investment, and then multiply both ends of this interval by 1650 to get an interval estimate of the total investment. Plan II would sample 30 students at random from among the 132 who have investments in the market, find a confidence interval estimate of their average investment, and then multiply both ends of this interval by 132 to get an interval estimate of the total investment. Which is the better plan for estimating the total stock market investment by students in this school?
A. Plan I
B. Plan II
C. Both plans use random samples and so will produce equivalent results.
D. Neither plan will give an accurate estimate.
Answer:",Plan II,"**Answer: B. Plan II** – sampling only the 132 students who actually invest gives a more precise estimate of the total, because the variability due to the many zero‑investment students is avoided.",1.0
ollama_gpt-oss:20b_think_medium,high_school_statistics_73,"Question: Which of the following is notrequired in a binomial setting?
A. Each trial is considered either a success or a failure.
B. Each trial is independent.
C. The value of the random variable of interest is the number of trials until the first success occurs.
D. There is a fixed number of trials.
Answer:",The value of the random variable of interest is the number of trials until the first success occurs.,"**Answer: C**

In a binomial experiment the random variable of interest is the number of successes in a **fixed** number of independent Bernoulli trials.
Option **C** describes the geometric distribution (counting trials until the first success), which is **not** a requirement for a binomial setting.",1.0
ollama_gpt-oss:20b_think_medium,high_school_statistics_126,"Question: The mean daily demand for bread at a popular bakery is 2,500 loaves, with a standard deviation of 225 loaves. Every morning the bakery bakes 3,000 loaves. What is the probability that today it will run out of bread? Assume that the mean daily demand for bread at this bakery is normally distributed.
A. 0.8333
B. 0.1667
C. 0.9869
D. 0.0132
Answer:",0.0132,"The probability that demand exceeds the 3,000 loaves baked is

\[
P(D>3000)=1-\Phi\!\left(\frac{3000-2500}{225}\right)
          =1-\Phi(2.2222).
\]

Using the standard normal table (or a calculator),

\[
\Phi(2.2222)\approx 0.9869.
\]

Hence

\[
P(D>3000)=1-0.9869\approx 0.0131 \approx 0.0132.
\]

So the bakery has about a **1.3% chance** of running out of bread.

**Answer: D. 0.0132**",1.0
ollama_gpt-oss:20b_think_medium,high_school_statistics_52,"Question: A medical research team tests for tumor reduction in a sample of patients using three different dosages of an experimental cancer drug. Which of the following is true?
A. There are three explanatory variables and one response variable.
B. There is one explanatory variable with three levels of response.
C. Tumor reduction is the only explanatory variable, but there are three response variables corresponding to the different dosages.
D. There are three levels of a single explanatory variable.
Answer:",There are three levels of a single explanatory variable.,D. There are three levels of a single explanatory variable.,1.0
ollama_gpt-oss:20b_think_medium,high_school_statistics_174,"Question: Given that the sample has a standard deviation of zero, which of the following is a true statement?
A. The standard deviation of the population is also zero.
B. The sample mean and sample median are equal.
C. The sample may have outliers.
D. The population has a symmetric distribution.
Answer:",The sample mean and sample median are equal.,"**Answer: B.**

If every observation in the sample is identical (standard deviation = 0), then the sample mean equals that common value, and the median of a set of identical values is also that same value. Hence the mean and median must be equal.",1.0
