subset,model,sample_id,estimated_cost_usd,thinking_tokens,score_accuracy,run_duration_sec
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_42,8.113854172,200.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_9,23.511070824,63.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_41,44.900344761,142.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_91,72.490522062,59.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_65,85.148384244,74.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_50,84.863711401,28.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_1,81.35436209400001,145.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_70,70.229974325,65.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_15,69.703777533,151.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_78,79.764375265,66.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_73,80.716276321,37.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_10,85.103528909,124.0,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_55,82.15352856000001,73.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_56,72.70307226300002,39.0,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_72,70.32993309400001,16.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_45,59.67822910199999,11.0,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_48,52.157186963999976,49.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_92,45.76392648499996,205.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_76,37.02159249299996,78.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_37,40.051823399,116.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_30,44.69892017900003,47.0,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_21,48.48289454000002,28.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_32,54.05623688600002,10.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_96,51.23246554100001,23.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_80,46.721942033000005,93.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_49,44.401241242000026,59.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_83,45.00096287800005,100.0,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_26,48.91549738400005,75.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_87,53.95384460800005,21.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_33,58.28138209200006,71.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_8,57.821811989000025,26.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_47,60.91037812400003,83.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_59,61.94153601800002,29.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_63,65.07949475200002,134.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_74,71.03259001200001,106.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_44,70.02632963899998,32.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_98,73.32498260699998,46.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_52,72.67839353299996,46.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_85,70.81454236000002,106.0,1.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_12,72.31856276100007,81.0,0.0,
abstract_algebra,ollama_gpt-oss:20b_think_low,abstract_algebra_36,70.12474011200004,29.0,1.0,
