model,sample_id,input,expected,prediction,score_accuracy
openai_o3,abstract_algebra_91,"Question: Find all cosets of the subgroup 4Z of 2Z.
A. 4Z
B. 4Z, 2 + 4Z
C. 2Z
D. Z
Answer:","4Z, 2 + 4Z","In the additive group 2ℤ (all even integers) the subgroup 4ℤ (integers divisible by 4) has index 2.  
A coset of 4ℤ in 2ℤ is of the form a + 4ℤ with a ∈ 2ℤ.  
The possible remainders an even integer can have modulo 4 are 0 and 2, so only two distinct cosets occur:

1. 0 + 4ℤ = 4ℤ  
2. 2 + 4ℤ = {…, –6, –2, 2, 6, …}

Thus all cosets are 4ℤ and 2 + 4ℤ.

Correct choice: B.",1.0
openai_o3,abstract_algebra_41,"Question: Find the characteristic of the ring Z_3 x 3Z.
A. 0
B. 3
C. 12
D. 30
Answer:",0,"For the characteristic of a direct-product ring \(R_1 \times R_2\):

• \(n\,(a_1,a_2)=0\)  for every \((a_1,a_2)\) iff \(n a_1=0\) in \(R_1\) and \(n a_2=0\) in \(R_2\).  
Hence the characteristic of \(R_1 \times R_2\) is the least common multiple of the characteristics of \(R_1\) and \(R_2\); if either factor has characteristic 0, the product also has characteristic 0.

Components here  
1. \(\mathbb Z_3\): characteristic \(3\).  
2. \(3\mathbb Z\) (multiples of \(3\) inside \(\mathbb Z\)): characteristic \(0\) (because \(n\cdot 3=0\) implies \(n=0\)).

Since one factor has characteristic 0, the direct product \(\mathbb Z_3 \times 3\mathbb Z\) also has characteristic 0.

Correct choice: A.",1.0
openai_o3,abstract_algebra_42,"Question: Statement 1 | Some abelian group of order 45 has a subgroup of order 10. Statement 2 | A subgroup H of a group G is a normal subgroup if and only if thenumber of left cosets of H is equal to the number of right cosets of H.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:","False, False","Statement 1  
By Lagrange’s theorem the order of any subgroup must divide the order of the group.  
45 = 3²·5, while 10 = 2·5.  
Since 10 ∤ 45, no group (abelian or not) of order 45 can possess a subgroup of order 10.  
Statement 1 is False.

Statement 2  
For any subgroup H ≤ G there is always a bijection  
gH  ↦  Hg⁻¹,  
so the number of left cosets equals the number of right cosets regardless of whether H is normal.  
Normality requires equality of each individual coset (gH = Hg), not just equality of their counts.  
Thus the stated “if and only if” condition is not correct.  
Statement 2 is False.

Therefore both statements are false.

Answer: B",1.0
openai_o3,abstract_algebra_65,"Question: Statement 1 | Every field is also a ring. Statement 2 | Every ring has a multiplicative identity.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:","True, False","Statement 1: True  
A field satisfies all the axioms of a ring (addition forms an abelian group, multiplication is associative and distributive over addition, etc.), so every field is indeed a ring.

Statement 2: False  
In general algebraic usage a ring need not possess a multiplicative identity; there are plenty of rings (e.g., the even integers 2ℤ under usual addition and multiplication) that lack a 1-element.

Thus the correct option is  
C. True, False",1.0
openai_o3,abstract_algebra_50,"Question: Statement 1 | Every solvable group is of prime-power order. Statement 2 | Every group of prime-power order is solvable.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:","False, True","Statement 1: “Every solvable group is of prime-power order.”  
False.  A solvable group need not have prime-power order.  
Example: the cyclic group ℤ₆ (order 6 = 2·3) is abelian, hence solvable, yet its order is not a prime power.

Statement 2: “Every group of prime-power order is solvable.”  
True.  A finite p-group has a non-trivial center; by factoring out the center and arguing inductively on the order, one shows every p-group is nilpotent, hence solvable.

Thus the correct choice is  
D. False, True",1.0
openai_o3,abstract_algebra_1,"Question: Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.
A. 8
B. 2
C. 24
D. 120
Answer:",24,"First determine the order of the permutation p.

Compute p = (1 2 5 4)(2 3) from right to left:

1 → 1 (by (2 3)) → 2 (by (1 2 5 4))  
2 → 3 → 3  
3 → 2 → 5  
4 → 4 → 1  
5 → 5 → 4  

Thus p = (1 2 3 5 4), a 5–cycle.  
Therefore |⟨p⟩| = 5.

The index of ⟨p⟩ in S₅ is  
|S₅ : ⟨p⟩| = |S₅| / |⟨p⟩| = 120 / 5 = 24.

Answer: C.",1.0
openai_o3,abstract_algebra_9,"Question: Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^3 + 2x + 2 in Z_7
A. 1
B. 2
C. 2,3
D. 6
Answer:","2,3","Over the field 𝑍₇ = {0,1,2,3,4,5,6} evaluate  

f(x) = x³ + 2x + 2  (mod 7)

x = 0 → 0³ + 2·0 + 2 = 2 ≠ 0  
x = 1 → 1 + 2 + 2 = 5 ≠ 0  
x = 2 → 2³ = 8 ≡ 1, 1 + 4 + 2 = 7 ≡ 0 ✓  
x = 3 → 3³ = 27 ≡ 6, 6 + 6 + 2 = 14 ≡ 0 ✓  
x = 4 → 4³ = 64 ≡ 1, 1 + 1 + 2 = 4 ≠ 0  
x = 5 → 5³ = 125 ≡ 6, 6 + 3 + 2 = 11 ≡ 4 ≠ 0  
x = 6 → 6³ = 216 ≡ 6, 6 + 5 + 2 = 13 ≡ 6 ≠ 0  

Thus the zeros in 𝑍₇ are 2 and 3.

Choice C: 2, 3",1.0
openai_o3,abstract_algebra_73,"Question: Find the characteristic of the ring Z_3 x Z_3.
A. 0
B. 3
C. 12
D. 30
Answer:",3,"In a direct-product ring the characteristic equals the least common multiple of the characteristics of the factors:

char(Z₃ × Z₃) = lcm(char Z₃ , char Z₃)  
                = lcm(3, 3)  
                = 3.

Therefore, the characteristic of the ring Z₃ × Z₃ is 3.

Answer: B",1.0
openai_o3,abstract_algebra_70,"Question: (Z,*) is a group with a*b = a+b+1 for all a, b in Z. The inverse of a is
A. 0
B. -2
C. a-2
D. (2+a)*-1
Answer:",(2+a)*-1,"For the operation  
a * b = a + b + 1 (on the set of integers ℤ)

1. Find the identity element e:  
   e * a = a ⇒ e + a + 1 = a ⇒ e = –1.

2. Let the inverse of a be x.  It must satisfy  
   a * x = e = –1.

   a * x = a + x + 1 = –1 ⇒ x = –a – 2.

Thus the inverse of a is –a – 2, which is (2 + a)·(–1).  
Option D is exactly this value.

Answer: D",1.0
openai_o3,abstract_algebra_78,"Question: Statement 1 | For n > 1, the set {1,2, ..., n-1} is a group under multiplication modulo n. Statement 2 | There is an integer x such that 63x mod 100 = 1.
A. True, True
B. False, False
C. True, False
D. False, True
Answer:","False, True","Statement 1:  False  
For the set {1, 2, …, n − 1} to form a group under multiplication mod n, every element must have a multiplicative inverse mod n.  
That happens exactly when n is prime.  
Because the statement claims this for every n > 1 (including composite n), it is false.

Statement 2:  True  
An element has an inverse modulo 100 iff it is relatively prime to 100.  
gcd(63, 100) = 1, so an inverse exists.  (Indeed, 63 × 27 ≡ 1701 ≡ 1 (mod 100).)

Thus the pair of truth values is (False, True).

Correct choice: D",1.0
